rule,says,support,confidence,lift
custom_link_colour & text_has_emoji & uploaded_image,human,0.051188885920384716,0.9220404234841193,1.4068144892797403
text_has_emoji & uploaded_image,human,0.09281325140261822,0.9089481946624803,1.3868388605175543
has_description & text_has_emoji & uploaded_image,human,0.08175260486240983,0.9085510688836105,1.386232940987834
text_has_emoji,human,0.0928666844776917,0.90852064819655,1.3861865262512991
has_description & text_has_emoji,human,0.08175260486240983,0.9080118694362017,1.3854102508151407
fav_number_high & text_len_low,human,0.06037937483302164,0.8982511923688393,1.3705177780191447
fav_number_high & text_len_low & uploaded_image,human,0.06032594175794817,0.8981702466189339,1.3703942740480473
fav_number_high & text_len_low & text_n_urls_low,human,0.05407427197435213,0.8963684676705049,1.3676451877102154
fav_number_high & has_description & text_len_low,human,0.05541009885118889,0.8939655172413794,1.3639788566095237
has_location & text_has_emoji & uploaded_image,human,0.05797488645471547,0.8922697368421052,1.3613914988586335
has_location & text_has_emoji,human,0.05797488645471547,0.8915365653245686,1.360272853419966
has_description & has_location & text_has_emoji,human,0.05391397274913171,0.8889867841409692,1.3563824934940683
favs_per_day_high & text_len_low & uploaded_image,human,0.060967138658829814,0.8804012345679012,1.34328298589094
favs_per_day_high & text_len_low & text_n_urls_low,human,0.05428800427464601,0.8796536796536797,1.3421423948083007
favs_per_day_high & text_len_low,human,0.06102057173390329,0.8791377983063895,1.3413552825129693
favs_per_day_high & has_description & text_len_low,human,0.05541009885118889,0.8743676222596964,1.3340771278811527
has_location & text_len_low & text_n_urls_low,human,0.08666844776916911,0.8734518039849218,1.3326798069116104
text_len_low & text_n_urls_low & uploaded_image,human,0.1348650814854395,0.8691460055096418,1.3261101820571457
fav_number_high & link_default & text_n_urls_low,human,0.05631846112743789,0.8689200329760923,1.32576540169147
custom_link_colour & text_len_low & text_n_urls_low,human,0.07534063585359338,0.8682266009852216,1.3247073893232044
custom_sidebar_colour & text_len_low & text_n_urls_low,human,0.08030991183542613,0.8677829099307159,1.3240304222528412
fav_number_high & sidebar_default & text_n_urls_low,human,0.05012022441891531,0.8637200736648251,1.3178314999704226
fav_number_high & text_n_urls_low & uploaded_image,human,0.16932941490782794,0.8620783460282916,1.3153266138854947
